URL,Lokasi,Harga,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Garasi,Jumlah Lantai
https://www.rumah123.com/properti/jakarta-timur/hos15600699/,"Rawamangun, Jakarta Timur","Rp 1,85 Miliar",105 m²,135 m²,4,2,2,-
https://www.rumah123.com/properti/jakarta-timur/hos39068663/,"Kayu Putih, Jakarta Timur","Rp 1,3 Miliar",81 m²,94 m²,4,2,1,2
https://www.rumah123.com/properti/jakarta-selatan/hos19387046/,"Lebak Bulus, Jakarta Selatan","Rp 6,5 Miliar",350 m²,376 m²,6,5,2,2
https://www.rumah123.com/properti/jakarta-selatan/hos39084258/,"Gandaria, Jakarta Selatan",Rp 4 Miliar,100 m²,165 m²,4,3,1,1
https://www.rumah123.com/properti/jakarta-barat/hos16976202/,"Jelambar, Jakarta Barat","Rp 3,35 Miliar",250 m²,100 m²,3,3,2,4
https://www.rumah123.com/properti/jakarta-barat/hos39103680/,"Jelambar, Jakarta Barat",Rp 6 Miliar,268 m²,473 m²,6,3,2,2
https://www.rumah123.com/properti/jakarta-selatan/hos19334734/,"Pejaten, Jakarta Selatan","Rp 3,2 Miliar",138 m²,183 m²,4,3,1,2
https://www.rumah123.com/properti/jakarta-barat/hos19149890/,"Metland Puri, Jakarta Barat","Rp 3,6 Miliar",150 m²,120 m²,3,3,2,2
https://www.rumah123.com/properti/jakarta-selatan/hos38953572/,"Cipete, Jakarta Selatan","Rp 4,7 Miliar",200 m²,231 m²,5,4,2,1
https://www.rumah123.com/properti/jakarta-barat/hos16882987/,"Tanjung Duren, Jakarta Barat","Rp 5,5 Miliar",200 m²,179 m²,4,4,2,2
https://www.rumah123.com/properti/jakarta-barat/hos17373041/,"Tanjung Duren, Jakarta Barat","Rp 2,2 Miliar",120 m²,90 m²,3,2,1,2
https://www.rumah123.com/properti/jakarta-barat/hos16456256/,"Tanjung Duren, Jakarta Barat","Rp 3,4 Miliar",160 m²,90 m²,15,4,-,2
https://www.rumah123.com/properti/jakarta-barat/hos18677305/,"Tanjung Duren, Jakarta Barat","Rp 2,3 Miliar",84 m²,77 m²,3,2,1,2
https://www.rumah123.com/properti/jakarta-barat/hos18785158/,"Tanjung Duren, Jakarta Barat",Rp 3 Miliar,200 m²,87 m²,4,4,2,3
https://www.rumah123.com/properti/jakarta-barat/hos19300256/,"Tanjung Duren, Jakarta Barat","Rp 1,3 Miliar",114 m²,40 m²,3,3,-,3
https://www.rumah123.com/properti/jakarta-barat/hos38843904/,"Tambora, Jakarta Barat","Rp 4,5 Miliar",500 m²,168 m²,4,4,2,3
https://www.rumah123.com/properti/jakarta-barat/hos19134441/,"Tamansari, Jakarta Barat","Rp 1,75 Miliar",120 m²,117 m²,3,3,1,2
https://www.rumah123.com/properti/jakarta-barat/hos17480370/,"Jelambar, Jakarta Barat","Rp 6,5 Miliar",402 m²,176 m²,6,4,1,4
https://www.rumah123.com/properti/jakarta-barat/hos38965297/,"Jelambar, Jakarta Barat","Rp 1,95 Miliar",200 m²,53 m²,4,3,1,3
https://www.rumah123.com/properti/jakarta-barat/hos19046270/,"Jelambar, Jakarta Barat",Rp 5 Miliar,255 m²,78 m²,4,3,1,4
https://www.rumah123.com/properti/jakarta-barat/hos17461386/,"Jelambar, Jakarta Barat","Rp 4,2 Miliar",239 m²,126 m²,5,4,3,2
https://www.rumah123.com/properti/jakarta-barat/hos19483002/,"Jelambar, Jakarta Barat","Rp 2,25 Miliar",162 m²,76 m²,3,3,1,3
https://www.rumah123.com/properti/jakarta-barat/hos19001074/,"Jelambar, Jakarta Barat","Rp 2,45 Miliar",154 m²,68 m²,2,3,1,1
https://www.rumah123.com/properti/jakarta-barat/hos17850018/,"Jelambar, Jakarta Barat","Rp 2,6 Miliar",144 m²,60 m²,3,3,1,4
https://www.rumah123.com/properti/jakarta-barat/hos15554168/,"Jelambar, Jakarta Barat","Rp 4,9 Miliar",250 m²,114 m²,5,5,1,3
https://www.rumah123.com/properti/jakarta-barat/hos39036681/,"Green Ville, Jakarta Barat","Rp 5,5 Miliar",503 m²,220 m²,6,3,2,3
https://www.rumah123.com/properti/jakarta-barat/hos18745054/,"Jelambar, Jakarta Barat","Rp 3,7 Miliar",150 m²,134 m²,3,3,2,2
https://www.rumah123.com/properti/jakarta-barat/hos15827764/,"Jelambar, Jakarta Barat","Rp 4,7 Miliar",300 m²,182 m²,3,2,3,1
https://www.rumah123.com/properti/jakarta-barat/hos39126803/,"Kebon Jeruk, Jakarta Barat","Rp 7,8 Miliar",800 m²,558 m²,5,4,-,2
https://www.rumah123.com/properti/jakarta-utara/hos39126781/,"Kelapa Gading, Jakarta Utara","Rp 7,5 Miliar",350 m²,200 m²,4,3,2,2
https://www.rumah123.com/properti/jakarta-timur/hos39126048/,"Pulomas, Jakarta Timur",Rp 7 Miliar,200 m²,240 m²,5,4,2,2
https://www.rumah123.com/properti/jakarta-utara/hos16405068/,"Kelapa Gading, Jakarta Utara","Rp 7,2 Miliar",540 m²,200 m²,3,3,-,2
https://www.rumah123.com/properti/jakarta-selatan/hos38852389/,"Pondok Indah, Jakarta Selatan","Rp 7,2 Miliar",200 m²,120 m²,4,3,2,2
https://www.rumah123.com/properti/jakarta-utara/hos39126558/,"Kelapa Gading, Jakarta Utara","Rp 4,9 Miliar",200 m²,204 m²,-,3,-,3
https://www.rumah123.com/properti/jakarta-timur/hos15951605/,"Pondok Kelapa, Jakarta Timur","Rp 1,2 Miliar",108 m²,67 m²,5,3,1,2
https://www.rumah123.com/properti/jakarta-selatan/hos19095646/,"Kemang, Jakarta Selatan","Rp 4,25 Miliar",250 m²,150 m²,5,3,2,2
https://www.rumah123.com/properti/jakarta-barat/hos39126770/,"Jembatan Lima, Jakarta Barat","Rp 2,1 Miliar",224 m²,152 m²,4,3,-,2
https://www.rumah123.com/properti/jakarta-barat/hos39065074/,"Duri Kosambi, Jakarta Barat","Rp 1,5 Miliar",87 m²,60 m²,2,2,1,2
https://www.rumah123.com/properti/jakarta-barat/hos39126767/,"Puri Indah, Jakarta Barat","Rp 7,8 Miliar",350 m²,240 m²,4,3,-,2
https://www.rumah123.com/properti/jakarta-timur/hos18991755/,"Condet, Jakarta Timur","Rp 1,4 Miliar",60 m²,70 m²,3,2,2,2
https://www.rumah123.com/properti/jakarta-barat/hos16403823/,"Meruya, Jakarta Barat","Rp 2,15 Miliar",130 m²,100 m²,3,3,2,1
