Lokasi,Harga (Miliar),Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Garasi,Jumlah Lantai
Jakarta Selatan,0.125,50,50,2,1,0,1
Jakarta Timur,0.175,15,26,0,1,0,2
Jakarta Barat,0.19,25,25,1,1,0,1
Jakarta Selatan,0.26,32,32,1,1,0,1
Jakarta Utara,0.26,35,37,1,1,0,1
Jakarta Barat,0.27,20,20,2,1,0,2
Jakarta Timur,0.278,29,15,2,2,1,2
Jakarta Barat,0.28,62,31,1,1,0,1.5
Jakarta Barat,0.28,30,40,1,1,0,1
Jakarta Timur,0.293,29,15,1,1,0,2
Jakarta Timur,0.296,32,16,2,1,0,2
Jakarta Timur,0.3,28,14,2,2,1,2
Jakarta Timur,0.3,38,38,1,1,0,1
Jakarta Utara,0.325,28,32,2,1,0,1
Jakarta Selatan,0.34,52,26,3,2,0,2
Jakarta Selatan,0.34,50,70,2,1,0,1
Jakarta Timur,0.349,26,15,2,1,1,2
Jakarta Selatan,0.35,35,35,2,1,0,1
Jakarta Barat,0.35,29,31,1,1,0,1
Jakarta Selatan,0.35,30,30,1,1,0,1
Jakarta Selatan,0.37,40,20,2,1,0,2
Jakarta Selatan,0.37,40,20,2,1,1,2
Jakarta Selatan,0.37,40,20,2,1,0,2
Jakarta Utara,0.3858,42,48,2,2,1,2
Jakarta Timur,0.395,34,19,1,1,0,2
Jakarta Timur,0.4,80,40,3,2,0,2
Jakarta Selatan,0.425,60,66,1,1,0,1
Jakarta Pusat,0.435,38,20,2,2,0,2
Jakarta Pusat,0.45,43,22,2,2,0,2
Jakarta Timur,0.45,76,38,2,2,0,2
Jakarta Timur,0.45,60,30,3,2,0,2
Jakarta Timur,0.45,70,48,3,1,0,1.5
Jakarta Timur,0.457,41,21,2,2,0,2
Jakarta Timur,0.457,41,21,2,2,0,2
Jakarta Timur,0.457,41,21,2,1,0,2
Jakarta Utara,0.47,44,24,2,2,0,2
Jakarta Timur,0.47,72,72,3,1,0,1.5
Jakarta Timur,0.475,80,40,3,2,0,2
Jakarta Utara,0.477,43,22,2,2,0,2
Jakarta Utara,0.477,43,22,2,2,0,2
Jakarta Utara,0.477,43,22,2,2,0,2
Jakarta Timur,0.48,90,48,2,2,0,2
Jakarta Timur,0.482,39,20,2,2,0,2
Jakarta Selatan,0.485,44,48,2,1,1,1
Jakarta Selatan,0.485,44,48,2,1,0,1
Jakarta Selatan,0.485,44,48,2,1,0,1
Jakarta Selatan,0.485,44,48,2,1,0,1
Jakarta Timur,0.487,47,90,2,1,0,1
Jakarta Timur,0.495,60,30,2,2,0,2
Jakarta Selatan,0.495,46,51,2,1,0,1
Jakarta Selatan,0.495,46,51,2,1,0,1
Jakarta Selatan,0.495,46,51,2,1,0,1
Jakarta Selatan,0.495,46,51,2,1,0,1
Jakarta Selatan,0.495,46,51,2,1,0,1
Jakarta Selatan,0.495,46,51,2,1,0,1
Jakarta Selatan,0.495,46,51,2,1,0,1
Jakarta Selatan,0.495,40,48,2,1,0,1
Jakarta Selatan,0.495,40,48,2,1,0,1
Jakarta Selatan,0.496,48,42,2,1,0,1
Jakarta Selatan,0.496,42,48,0,0,0,1
Jakarta Selatan,0.5,70,70,1,1,1,1
Jakarta Selatan,0.5,70,70,1,1,1,1
Jakarta Timur,0.5,80,80,2,2,0,1
Jakarta Timur,0.52,45,60,2,1,0,2
Jakarta Selatan,0.52,46,51,2,1,0,1
Jakarta Selatan,0.525,36,36,2,1,0,1
Jakarta Selatan,0.53,50,66,2,1,2,1
Jakarta Selatan,0.55,55,32,2,2,1,2
Jakarta Selatan,0.55,80,40,2,2,0,2
Jakarta Selatan,0.55,40,48,2,2,0,2
Jakarta Selatan,0.55,66,33,1,2,0,2
Jakarta Timur,0.55,30,15,1,0,0,2
Jakarta Pusat,0.553,43,21,2,2,0,2
Jakarta Pusat,0.553,41,21,2,2,0,2
Jakarta Timur,0.576,42,44,2,1,0,1
Jakarta Timur,0.578,38,30,0,0,0,1
Jakarta Timur,0.578,38,30,2,2,0,1
Jakarta Pusat,0.58,42,21,2,2,1,2
Jakarta Timur,0.59,80,40,2,1,0,2
Jakarta Barat,0.595,100,79,3,1,0,2
Jakarta Timur,0.599,60,70,2,1,0,1
Jakarta Timur,0.6,60,50,3,2,1,2
Jakarta Selatan,0.6,65,34,3,2,1,2
Jakarta Timur,0.6,178,81,5,3,1,2.5
Jakarta Selatan,0.6,55,69,3,2,0,2
Jakarta Selatan,0.6,90,65,3,1,0,2
Jakarta Selatan,0.6,55,60,3,2,1,2
Jakarta Selatan,0.6,55,60,3,2,1,2
Jakarta Timur,0.6,110,55,3,2,0,2
Jakarta Pusat,0.6,70,73,2,1,0,1
Jakarta Timur,0.6,44,50,2,1,0,1
Jakarta Timur,0.6,40,50,0,0,0,1
Jakarta Selatan,0.62,92,92,2,1,0,1
Jakarta Timur,0.625,52,90,2,1,0,1
Jakarta Selatan,0.64,50,50,3,1,0,1.5
Jakarta Utara,0.65,44,44,1,1,0,1
Jakarta Utara,0.65,89,31,2,2,0,3
Jakarta Barat,0.65,123,82,5,1,1,2
Jakarta Selatan,0.65,120,58,3,2,0,2
Jakarta Timur,0.65,60,50,3,2,0,2
Jakarta Selatan,0.65,55,33,3,2,0,2
Jakarta Selatan,0.65,55,32,3,2,0,2
Jakarta Selatan,0.65,55,32,3,2,0,2
Jakarta Barat,0.65,60,30,1,1,0,2
Jakarta Barat,0.65,72,72,2,1,0,1
Jakarta Pusat,0.66,88,25,3,3,1,3
Jakarta Selatan,0.67,40,63,2,1,0,1
Jakarta Selatan,0.675,70,40,2,3,0,2
Jakarta Selatan,0.675,70,40,2,3,0,2
Jakarta Selatan,0.675,70,40,2,3,0,2
Jakarta Selatan,0.675,70,40,2,3,0,2
Jakarta Selatan,0.675,70,40,2,3,0,2
Jakarta Selatan,0.675,70,40,2,3,0,2
Jakarta Selatan,0.675,70,40,2,3,0,2
Jakarta Timur,0.678,56,79,2,2,2,2
Jakarta Barat,0.68,60,60,2,1,1,1
Jakarta Pusat,0.68,100,50,5,3,0,2
Jakarta Barat,0.685,40,32,2,2,1,2
Jakarta Timur,0.69,55,60,2,2,1,2
Jakarta Timur,0.69,70,73,3,2,2,2
Jakarta Timur,0.695,73,30,3,3,0,2
Jakarta Selatan,0.699,60,60,3,2,0,2
Jakarta Barat,0.699,60,60,0,0,0,1
Jakarta Pusat,0.699,60,60,0,0,0,1
Jakarta Selatan,0.699,60,60,0,0,0,1
Jakarta Selatan,0.699,60,60,0,0,0,1
Jakarta Selatan,0.699,60,60,0,0,0,1
Jakarta Selatan,0.699,60,60,0,0,0,1
Jakarta Selatan,0.699,60,60,0,0,0,1
Jakarta Timur,0.699,60,60,0,0,0,1
Jakarta Timur,0.699,60,60,0,0,0,1
Jakarta Utara,0.699,60,60,0,0,0,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Timur,0.7,51,90,2,1,1,1
Jakarta Selatan,0.7,60,60,3,2,1,2
Jakarta Selatan,0.7,60,60,3,2,1,2
Jakarta Selatan,0.7,60,60,3,2,1,2
Jakarta Selatan,0.7,60,60,3,2,1,2
Jakarta Selatan,0.7,60,60,3,2,1,2
Jakarta Selatan,0.7,60,60,3,2,1,2
Jakarta Selatan,0.7,60,60,3,2,1,2
Jakarta Selatan,0.7,40,40,2,2,0,2
Jakarta Timur,0.7,84,84,4,4,0,1
Jakarta Timur,0.7,50,72,2,1,1,1
Jakarta Selatan,0.7,50,60,2,1,0,1
Jakarta Timur,0.7,50,30,2,2,0,2
Jakarta Selatan,0.725,60,60,3,2,1,2
Jakarta Utara,0.725,60,60,3,2,1,2
Jakarta Utara,0.725,60,60,3,2,1,2
Jakarta Timur,0.729,50,50,2,2,0,2
Jakarta Pusat,0.736,40,23,2,2,0,2
Jakarta Utara,0.739,60,60,3,2,0,2
Jakarta Utara,0.742,56,33,2,3,1,2
Jakarta Timur,0.75,1,80,3,1,0,2
Jakarta Timur,0.75,60,67,3,2,1,1
Jakarta Pusat,0.75,60,37,4,3,0,3
Jakarta Selatan,0.75,100,55,3,2,0,2
Jakarta Timur,0.75,76,38,2,2,0,2
Jakarta Selatan,0.75,40,55,2,1,0,1
Jakarta Selatan,0.75,40,55,2,1,0,1
Jakarta Selatan,0.75,40,55,2,1,0,1
Jakarta Barat,0.75,80,43,3,2,0,2
Jakarta Selatan,0.759,61,68,2,1,0,1
Jakarta Barat,0.765,50,42,2,2,1,2
Jakarta Selatan,0.77,72,64,3,2,0,2
Jakarta Timur,0.77,120,77,4,1,0,2
Jakarta Timur,0.79,60,36,2,2,0,2.5
Jakarta Timur,0.795,75,50,3,2,2,2
Jakarta Selatan,0.795,61,68,2,1,0,1
Jakarta Selatan,0.795,61,68,2,1,0,1
Jakarta Selatan,0.795,61,68,2,1,0,1
Jakarta Selatan,0.795,61,68,2,1,0,1
Jakarta Selatan,0.795,61,68,2,1,0,1
Jakarta Selatan,0.796,70,90,2,2,0,1
Jakarta Selatan,0.799,70,90,2,2,0,1
Jakarta Timur,0.8,100,72,2,1,1,1
Jakarta Timur,0.8,75,90,3,2,2,2
Jakarta Utara,0.8,49,49,1,1,0,2
Jakarta Selatan,0.8,73,73,2,2,0,2
Jakarta Timur,0.8,165,131,5,3,0,2
Jakarta Selatan,0.8,67,69,3,2,0,2
Jakarta Timur,0.8,80,60,3,3,0,2
Jakarta Barat,0.8,67,60,3,2,0,2
Jakarta Barat,0.8,67,60,3,2,0,2
Jakarta Selatan,0.8,67,60,3,2,0,2
Jakarta Selatan,0.8,67,60,3,2,0,2
Jakarta Pusat,0.8,100,50,5,4,0,2
Jakarta Selatan,0.8,80,50,3,2,0,2
Jakarta Selatan,0.8,112,56,8,2,0,1
Jakarta Timur,0.8,65,45,2,1,0,1
Jakarta Timur,0.8,65,45,2,1,0,1
Jakarta Selatan,0.809,60,50,2,2,1,2
Jakarta Timur,0.825,58,105,3,2,1,1
Jakarta Selatan,0.825,50,63,2,1,0,1
Jakarta Selatan,0.825,50,63,2,1,0,1
Jakarta Timur,0.845,80,40,4,3,0,2
Jakarta Pusat,0.85,72,25,2,3,1,3
Jakarta Timur,0.85,90,60,4,2,1,2
Jakarta Timur,0.85,108,128,5,2,1,2
Jakarta Timur,0.85,60,70,1,2,0,2
Jakarta Selatan,0.85,90,60,2,2,0,2
Jakarta Timur,0.85,100,50,3,2,1,2
Jakarta Selatan,0.85,85,48,3,2,0,2
Jakarta Selatan,0.85,85,48,3,2,0,2
Jakarta Timur,0.85,86,43,2,2,0,2
Jakarta Barat,0.85,72,36,3,2,1,2
Jakarta Selatan,0.85,85,99,2,1,0,1
Jakarta Timur,0.85,60,90,3,1,0,1
Jakarta Selatan,0.85,50,65,2,1,0,1
Jakarta Barat,0.85,44,63,2,1,0,1
Jakarta Selatan,0.85,60,84,3,1,1,1
Jakarta Timur,0.86,77,77,0,0,0,1
Jakarta Selatan,0.865,70,41,2,2,1,2
Jakarta Barat,0.875,70,46,2,2,0,2
Jakarta Barat,0.875,72,24,3,2,0,3
Jakarta Selatan,0.875,85,51,3,2,0,2
Jakarta Selatan,0.875,85,51,3,2,0,2
Jakarta Selatan,0.875,80,45,3,2,0,2
Jakarta Selatan,0.875,80,45,3,3,0,2
Jakarta Selatan,0.875,80,45,3,2,0,2
Jakarta Selatan,0.875,80,45,3,2,0,2
Jakarta Selatan,0.875,75,43,3,2,0,2
Jakarta Selatan,0.875,75,43,3,2,0,2
Jakarta Selatan,0.875,60,68,2,1,0,1
Jakarta Pusat,0.88,77,77,3,2,0,2
Jakarta Pusat,0.88,77,77,3,2,0,2
Jakarta Pusat,0.88,77,77,3,2,0,2
Jakarta Selatan,0.88,77,77,3,2,0,2
Jakarta Selatan,0.88,77,77,3,2,0,2
Jakarta Timur,0.88,77,77,3,2,0,2
Jakarta Timur,0.88,77,77,3,2,0,2
Jakarta Timur,0.88,77,77,3,2,0,2
Jakarta Selatan,0.88,80,60,3,3,0,2
Jakarta Timur,0.88206,103,111,2,1,1,1
Jakarta Timur,0.89,40,60,2,2,1,1
Jakarta Selatan,0.89,70,43,3,2,1,2
Jakarta Selatan,0.895,90,47,3,3,0,2
Jakarta Timur,0.899,83,95,3,2,0,2
Jakarta Timur,0.899,70,85,2,1,0,2
Jakarta Barat,0.9,105,172,3,1,0,1
Jakarta Barat,0.9,120,60,2,2,1,2
Jakarta Barat,0.9,60,33,2,1,0,2
Jakarta Barat,0.9,96,48,2,2,0,2
Jakarta Selatan,0.9,75,60,3,2,0,2
Jakarta Pusat,0.9,57,19,3,2,0,3
Jakarta Selatan,0.9,90,60,3,2,0,2
Jakarta Selatan,0.9,67,60,3,2,0,2
Jakarta Selatan,0.9,67,60,3,2,0,2
Jakarta Selatan,0.9,67,60,3,2,0,2
Jakarta Selatan,0.9,67,60,3,2,0,2
Jakarta Utara,0.9,67,60,3,2,0,2
Jakarta Utara,0.9,54,60,3,2,0,2
Jakarta Selatan,0.9,90,45,3,2,0,2
Jakarta Utara,0.9,74,45,2,2,0,2
Jakarta Selatan,0.9,90,44,3,2,0,2
Jakarta Selatan,0.9,77,44,4,2,0,2
Jakarta Selatan,0.9,90,43,3,2,0,2
Jakarta Selatan,0.9,90,43,4,2,0,2
Jakarta Utara,0.9,90,185,4,3,0,1
Jakarta Barat,0.9,160,84,2,2,0,1
Jakarta Barat,0.9,84,84,0,0,0,1
Jakarta Utara,0.9,56,60,1,1,1,1
Jakarta Selatan,0.9,48,60,2,1,1,1
Jakarta Pusat,0.925,165,67,1,2,0,2
Jakarta Selatan,0.925,80,69,3,2,0,2
Jakarta Selatan,0.925,90,55,4,3,0,2
Jakarta Selatan,0.925,90,55,4,3,0,2
Jakarta Selatan,0.925,90,55,4,3,0,2
Jakarta Selatan,0.925,90,47,3,3,0,2
Jakarta Selatan,0.925,90,47,3,3,0,2
Jakarta Selatan,0.925,90,47,3,3,0,2
Jakarta Selatan,0.925,90,47,3,3,0,2
Jakarta Selatan,0.925,90,44,2,2,0,2
Jakarta Selatan,0.925,112,41,3,3,0,2
Jakarta Selatan,0.925,110,41,3,3,0,2
Jakarta Selatan,0.925,80,69,3,2,0,1.5
Jakarta Selatan,0.925,80,69,3,2,0,1.5
Jakarta Selatan,0.925,80,69,3,2,0,1.5
Jakarta Selatan,0.925,50,70,2,1,0,1
Jakarta Selatan,0.925,80,69,3,2,0,1
Jakarta Selatan,0.925,90,47,3,3,0,2
Jakarta Pusat,0.927,56,33,2,3,1,2
Jakarta Selatan,0.94,90,50,3,2,0,2
Jakarta Pusat,0.946,66,22,3,2,0,3
Jakarta Utara,0.95,117,39,3,2,1,3
Jakarta Selatan,0.95,100,52,3,3,0,2.5
