URL,Lokasi,Harga,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Garasi,Jumlah Lantai
https://www.properti123.com/properti-jual/43240-rumah-3-kamar-tidur-perumahan-pulo-gebang-permai-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 1.5 Milliar,100m2,151m2,3,3,0,1.00
https://www.properti123.com/properti-sewa/43226-rumah-8x15-cluster-metland-menteng-cakung-dekat-jgc-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 45 Juta,80m2,120m2,2,2,0,
https://www.properti123.com/properti-sewa/43216-sewa-rumah-cluster-di-green-permata-ulujami-pesanggrahan-jakarta,"Kota Jakarta Selatan, Dki Jakarta",Rp 99.5 Juta,151m2,150m2,3,3,0,2.00
https://www.properti123.com/properti-jual/43188-rumah-harga-rp-2-m-an-di-menteng-dalam,"Kota Jakarta Selatan, Dki Jakarta",Rp 2.95 Milliar,212m2,106m2,4,3,0,2.00
https://www.properti123.com/properti-jual/43165-rumah-dijual-condet-kramat-jati-jakarta-timur-rumah-siap-huni,"Kota Jakarta Timur, Dki Jakarta",Rp 970 Juta,45m2,60m2,0,0,0,
https://www.properti123.com/properti-jual/43161-vila-sarimas-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 4.7 Milliar,235m2,160m2,4,2,1,2.00
https://www.properti123.com/properti-jual/43150-di-jual-rumah-siap-huni-di-pusat-kota-jakarta-startegis,"Kota Jakarta Pusat, Dki Jakarta",Rp 7 Milliar,136m2,126m2,4,3,1,2.50
https://www.properti123.com/properti-jual/43121-jual-rumah-tinggal-empat-lantai-baru-renovasi-di-ketapang-utara-jakarta-barat,"Kota Jakarta Barat, Dki Jakarta",Rp 2.9 Milliar,280m2,96m2,3,4,0,3.50
https://www.properti123.com/properti-jual/43099-rumah-keluarga-di-persada-raya-menteng-dalam-strategis-hangat-penuh-karakter,"Kota Jakarta Selatan, Dki Jakarta",Rp 3.8 Milliar,100m2,139m2,4,2,1,1.50
https://www.properti123.com/properti-jual/43098-rumah-estetik-2-lt-pool-dekat-tol-cijago-desari-nego-aluss,"Kota Jakarta Selatan, Dki Jakarta",Rp 2.4 Milliar,150m2,105m2,3,3,1,2.00
https://www.properti123.com/properti-jual/43085-rumah-hook-shm-di-sumur-batu-jakarta-pusat,"Kota Jakarta Pusat, Dki Jakarta",Rp 4.5 Milliar,200m2,313m2,5,1,1,1.50
https://www.properti123.com/properti-jual/43059-dijual-rumah-2lt-type-5kt-4km-di-kelapa-gading-jakarta-utara,"Kota Jakarta Utara, Dki Jakarta",Rp 6.3 Milliar,400m2,323m2,5,4,0,
https://www.properti123.com/properti-jual/43058-rumah-siap-huni-luas-482m-type-4kt-di-rawamangun-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 11 Milliar,0m2,0m2,0,0,0,
https://www.properti123.com/properti-jual/43053-apartemen-cleon-park-type-studio-furnished-32m-di-jgc-cakung,"Kota Jakarta Timur, Dki Jakarta",Rp 55 Juta,32m2,0m2,0,1,0,
https://www.properti123.com/properti-jual/43050-di-jual-rumah-daerah-pasar-minggu-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 17 Milliar,900m2,765m2,,10,0,2.00
https://www.properti123.com/properti-jual/43043-dijual-rumah-kelapa-gading-pegangsaan,"Kota Jakarta Utara, Dki Jakarta",Rp 3.7 Milliar,200m2,293m2,1,1,0,2.00
https://www.properti123.com/properti-jual/43035-di-jual-rumah-di-pondok-kelapa-duren-sawit-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 1.5 Milliar,100m2,90m2,2,2,0,1.00
https://www.properti123.com/properti-jual/43034-di-jual-rumah-di-komp-perumahan-pemda-duren-sawai-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 1.85 Milliar,90m2,74m2,4,2,0,2.00
https://www.properti123.com/properti-jual/43017-rumah-modern-plus-private-pool-di-cipinang-kebembem-jaktim,"Kota Jakarta Timur, Dki Jakarta",Rp 8.5 Milliar,600m2,325m2,7,5,2,2.00
https://www.properti123.com/properti-jual/43015-rumah-second-strategis-bebas-banjir-di-pondok-kelapa-jaktim,"Kota Jakarta Timur, Dki Jakarta",Rp 4.9 Milliar,311m2,612m2,4,2,2,1.50
https://www.properti123.com/properti-jual/43005-rumah-cluster-palm-spring-jakarta-garden-city-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 3.59 Milliar,115m2,140m2,4,3,0,2.00
