URL,Lokasi,Harga
https://www.properti123.com/properti-jual/8390-dijual-rumah-full-furnish-strategis-di-jalan-tulodong-senopati,"Kota Jakarta Selatan, Dki Jakarta",Rp 160 Milliar
https://www.properti123.com/properti-jual/8344-dijual-rumah-mewah-strategis-full-furnish-di-jalan-bangka-viii-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 20 Milliar
https://www.properti123.com/properti-jual/8321-rumah-di-perdatam-pancoran-harga-njop-akses-2-mobil,"Kota Jakarta Selatan, Dki Jakarta",Rp 4.95 Milliar
https://www.properti123.com/properti-jual/8307-dijual-rumah-bagus-siap-pakai-tanpa-renov-full-furnish-di-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 2.2 Milliar
https://www.properti123.com/properti-jual/8249-rumah-kost-mewah-murah-dekat-pondok-indah-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 7.5 Milliar
https://www.properti123.com/properti-sewa/8239-disewakan-dikontrakan-tahunan-rumah-strategis-di-koja-jakarta-utara,"Kota Jakarta Utara, Dki Jakarta",Rp 3.75 Juta
https://www.properti123.com/properti-jual/8234-dijual-rumah-di-tanjung-barat-tb-simatupang-dekat-toll-jorr,"Kota Jakarta Selatan, Dki Jakarta",Rp 2.1 Milliar
https://www.properti123.com/properti-jual/8232-dijual-murah-rumah-cluster-minimalis-di-tanjung-barat-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.25 Milliar
https://www.properti123.com/properti-jual/8226-rumah-cantik-dan-mewah-harga-murah-di-cilandak-jakarta-selatan-hanya-4-5-milyar,"Kota Jakarta Selatan, Dki Jakarta",Rp 4.5 Milliar
https://www.properti123.com/properti-jual/8217-dijual-rumah-baru-desain-klasik-minimalis-di-utan-kayu-matraman,"Kota Jakarta Timur, Dki Jakarta",Rp 590 Juta
https://www.properti123.com/properti-jual/8203-dijual-murah-rumah-siap-huni-jl-bambu-2-kembangan-jakarta-barat,"Kota Jakarta Barat, Dki Jakarta",Rp 2.95 Milliar
https://www.properti123.com/properti-jual/8202-dijual-cepat-rumah-cluster-puri-harvest-south-jakarta,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.3 Milliar
https://www.properti123.com/properti-jual/8183-rumah-seken-murah-dikawasan-jakarta-selatan-hanya-1-5-milyar,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.5 Milliar
https://www.properti123.com/properti-jual/8174-rumah-murah-di-kawasan-usaha-di-petukangan-utara-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 3.6 Milliar
https://www.properti123.com/properti-jual/8137-dijual-cepat-rumah-mewah-bonus-kolam-renang-di-kawasan-elit-kemang-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 13.5 Milliar
https://www.properti123.com/properti-jual/8110-rumah-mewah-modern-classic-m-kahfi-1-jagakrsa-jak-sel,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.75 Milliar
